Date_reported,Cumulative_cases
03-01-2020,0
04-01-2020,0
05-01-2020,0
06-01-2020,0
07-01-2020,0
08-01-2020,0
09-01-2020,0
10-01-2020,0
11-01-2020,0
12-01-2020,0
13-01-2020,0
14-01-2020,0
15-01-2020,0
16-01-2020,0
17-01-2020,0
18-01-2020,0
19-01-2020,0
20-01-2020,0
21-01-2020,0
22-01-2020,0
23-01-2020,0
24-01-2020,3
25-01-2020,3
26-01-2020,3
27-01-2020,3
28-01-2020,3
29-01-2020,4
30-01-2020,5
31-01-2020,6
01-02-2020,6
02-02-2020,6
03-02-2020,6
04-02-2020,6
05-02-2020,6
06-02-2020,6
07-02-2020,6
08-02-2020,11
09-02-2020,11
10-02-2020,11
11-02-2020,11
12-02-2020,11
13-02-2020,11
14-02-2020,11
15-02-2020,11
16-02-2020,11
17-02-2020,12
18-02-2020,12
19-02-2020,12
20-02-2020,12
21-02-2020,12
22-02-2020,12
23-02-2020,12
24-02-2020,12
25-02-2020,12
26-02-2020,14
27-02-2020,17
28-02-2020,38
29-02-2020,57
01-03-2020,100
02-03-2020,123
03-03-2020,171
04-03-2020,209
05-03-2020,282
06-03-2020,415
07-03-2020,599
08-03-2020,706
09-03-2020,1116
10-03-2020,1402
11-03-2020,1774
12-03-2020,2270
13-03-2020,2856
14-03-2020,3629
15-03-2020,4464
16-03-2020,5380
17-03-2020,6582
18-03-2020,7657
19-03-2020,9044
20-03-2020,10884
21-03-2020,12455
22-03-2020,14296
23-03-2020,15821
24-03-2020,19631
25-03-2020,22043
26-03-2020,24940
27-03-2020,28786
28-03-2020,32534
29-03-2020,37145
30-03-2020,39636
31-03-2020,43977
01-04-2020,51477
02-04-2020,56261
03-04-2020,58327
04-04-2020,63536
05-04-2020,67757
06-04-2020,69607
07-04-2020,73488
08-04-2020,77225
09-04-2020,81094
10-04-2020,85350
11-04-2020,89683
12-04-2020,92787
13-04-2020,94382
14-04-2020,97051
15-04-2020,102534
16-04-2020,105155
17-04-2020,107778
18-04-2020,108163
19-04-2020,110721
20-04-2020,111463
21-04-2020,113513
22-04-2020,116151
23-04-2020,117961
24-04-2020,119584
25-04-2020,121339
26-04-2020,122876
27-04-2020,123280
28-04-2020,124440
29-04-2020,125465
30-04-2020,127066
01-05-2020,128121
02-05-2020,128722
03-05-2020,129458
04-05-2020,129708
05-05-2020,130242
06-05-2020,131292
07-05-2020,135468
08-05-2020,135980
09-05-2020,136578
10-05-2020,137008
11-05-2020,137073
12-05-2020,137936
13-05-2020,138913
14-05-2020,139898
15-05-2020,140111
16-05-2020,140184
17-05-2020,141294
18-05-2020,142257
19-05-2020,143284
20-05-2020,143415
21-05-2020,144176
22-05-2020,144402
23-05-2020,144503
24-05-2020,145195
25-05-2020,145884
