Date_reported,Cumulative_cases
03-01-2020,0
04-01-2020,0
05-01-2020,0
06-01-2020,0
07-01-2020,0
08-01-2020,0
09-01-2020,0
10-01-2020,0
11-01-2020,0
12-01-2020,0
13-01-2020,0
14-01-2020,0
15-01-2020,0
16-01-2020,0
17-01-2020,0
18-01-2020,0
19-01-2020,0
20-01-2020,0
21-01-2020,0
22-01-2020,0
23-01-2020,0
24-01-2020,0
25-01-2020,0
26-01-2020,0
27-01-2020,0
28-01-2020,0
29-01-2020,0
30-01-2020,0
31-01-2020,0
01-02-2020,0
02-02-2020,0
03-02-2020,0
04-02-2020,0
05-02-2020,0
06-02-2020,0
07-02-2020,0
08-02-2020,0
09-02-2020,0
10-02-2020,0
11-02-2020,0
12-02-2020,0
13-02-2020,0
14-02-2020,0
15-02-2020,0
16-02-2020,0
17-02-2020,0
18-02-2020,0
19-02-2020,0
20-02-2020,0
21-02-2020,0
22-02-2020,0
23-02-2020,0
24-02-2020,0
25-02-2020,0
26-02-2020,0
27-02-2020,0
28-02-2020,0
29-02-2020,0
01-03-2020,0
02-03-2020,2
03-03-2020,2
04-03-2020,4
05-03-2020,2
06-03-2020,1
07-03-2020,5
08-03-2020,11
09-03-2020,18
10-03-2020,25
11-03-2020,31
12-03-2020,41
13-03-2020,52
14-03-2020,89
15-03-2020,138
16-03-2020,233
17-03-2020,314
18-03-2020,424
19-03-2020,536
20-03-2020,679
21-03-2020,948
22-03-2020,1166
23-03-2020,1407
24-03-2020,1721
25-03-2020,2048
26-03-2020,2619
27-03-2020,3098
28-03-2020,3708
29-03-2020,4431
30-03-2020,4991
31-03-2020,5443
01-04-2020,6379
02-04-2020,7247
03-04-2020,7964
04-04-2020,8699
05-04-2020,9412
06-04-2020,10003
07-04-2020,10493
08-04-2020,11254
09-04-2020,11956
10-04-2020,12710
11-04-2020,13382
12-04-2020,13929
13-04-2020,14496
14-04-2020,14937
15-04-2020,15614
16-04-2020,16321
17-04-2020,17001
18-04-2020,17698
19-04-2020,18415
20-04-2020,18766
21-04-2020,19183
22-04-2020,19799
23-04-2020,20313
24-04-2020,20816
25-04-2020,21379
26-04-2020,21853
27-04-2020,22117
28-04-2020,22379
29-04-2020,22846
30-04-2020,23297
01-05-2020,23721
02-05-2020,24127
03-05-2020,24371
04-05-2020,24575
05-05-2020,24751
06-05-2020,25209
07-05-2020,25615
08-05-2020,25992
09-05-2020,26399
10-05-2020,26726
11-05-2020,26902
12-05-2020,27078
13-05-2020,27404
14-05-2020,27658
15-05-2020,27914
16-05-2020,28213
17-05-2020,28486
18-05-2020,28719
19-05-2020,28933
20-05-2020,29258
21-05-2020,29620
22-05-2020,29933
23-05-2020,30272
24-05-2020,30627
25-05-2020,30783
26-05-2020,30937
