Date_reported,Cumulative_cases
03-01-2020,0
04-01-2020,0
05-01-2020,0
06-01-2020,0
07-01-2020,0
08-01-2020,0
09-01-2020,0
10-01-2020,0
11-01-2020,1
12-01-2020,2
13-01-2020,2
14-01-2020,3
15-01-2020,3
16-01-2020,3
17-01-2020,3
18-01-2020,3
19-01-2020,3
20-01-2020,4
21-01-2020,4
22-01-2020,4
23-01-2020,5
24-01-2020,5
25-01-2020,5
26-01-2020,5
27-01-2020,5
28-01-2020,5
29-01-2020,5
30-01-2020,5
31-01-2020,5
01-02-2020,5
02-02-2020,6
03-02-2020,6
04-02-2020,6
05-02-2020,6
06-02-2020,6
07-02-2020,6
08-02-2020,6
09-02-2020,6
10-02-2020,6
11-02-2020,7
12-02-2020,7
13-02-2020,7
14-02-2020,10
15-02-2020,10
16-02-2020,10
17-02-2020,10
18-02-2020,10
19-02-2020,10
20-02-2020,10
21-02-2020,10
22-02-2020,10
23-02-2020,11
24-02-2020,12
25-02-2020,14
26-02-2020,16
27-02-2020,17
28-02-2020,24
29-02-2020,47
01-03-2020,70
02-03-2020,89
03-03-2020,126
04-03-2020,198
05-03-2020,283
06-03-2020,382
07-03-2020,572
08-03-2020,846
09-03-2020,1136
10-03-2020,1505
11-03-2020,2155
12-03-2020,3191
13-03-2020,4537
14-03-2020,6348
15-03-2020,8526
16-03-2020,10558
17-03-2020,12868
18-03-2020,16133
19-03-2020,20616
20-03-2020,25402
21-03-2020,31283
22-03-2020,37814
23-03-2020,43607
24-03-2020,48933
25-03-2020,57139
26-03-2020,66866
27-03-2020,77004
28-03-2020,87118
29-03-2020,96214
30-03-2020,103314
31-03-2020,108407
01-04-2020,116417
02-04-2020,124343
03-04-2020,131408
04-04-2020,138318
05-04-2020,145140
06-04-2020,149812
07-04-2020,152959
08-04-2020,158359
09-04-2020,163682
10-04-2020,169170
11-04-2020,173782
12-04-2020,178223
13-04-2020,181298
14-04-2020,183677
15-04-2020,186805
16-04-2020,190801
17-04-2020,194503
18-04-2020,197920
19-04-2020,201382
20-04-2020,203564
21-04-2020,205009
22-04-2020,207527
23-04-2020,210256
24-04-2020,213025
25-04-2020,215248
26-04-2020,217534
27-04-2020,218824
28-04-2020,219644
29-04-2020,221297
30-04-2020,223034
01-05-2020,224518
02-05-2020,225957
03-05-2020,226750
04-05-2020,227316
05-05-2020,227768
06-05-2020,228781
07-05-2020,229763
08-05-2020,230747
09-05-2020,231703
10-05-2020,232621
11-05-2020,233112
12-05-2020,233428
13-05-2020,234716
14-05-2020,235450
15-05-2020,236260
16-05-2020,237048
17-05-2020,237848
18-05-2020,238197
19-05-2020,238441
20-05-2020,239075
21-05-2020,239930
22-05-2020,240681
23-05-2020,241462
24-05-2020,242286
25-05-2020,242601
